LÍNEA MOTO
EJE DE MOTO CL. 5.8 PAVONADO
CÓDIGO P. V. CÓDIGO P. V. LARGO Ø EJE
DESCRIPCIÓN EMP. ROSCA
SOLO SOLO COMPLETO COMPLETO (mm.) (mm.)
Delantero XL / GL / Post C - 50 BM500116 $1.68 BM505116 $0.11 100 JGO M 12 X 1.25 210 12
Posterior CB / CG BM500219 $2.96 BM505219 $0.22 60 JGO M 14 X 1.50 235 15
Trapecio CB / CG BM500320 $1.88 BM505320 $0.11 30 JGO M 12 X 1.25 254 12
Trapecio GL BM500322 $1.98 BM505322 $0.11 50 JGO M 12 X 1.25 270 12
Trapecio CG Evolution BM500324 $2.86 BM505324 $0.22 30 JGO M 14 X 1.50 257 14
PRECIO DE VENTA POR PIEZA (INCLUYE IGV)
EJE DE MOTO CL. 8.8 PAVONADO
CÓDIGO P. V. CÓDIGO P. V. LARGO Ø EJE
DESCRIPCIÓN EMP. ROSCA
SOLO SOLO COMPLETO COMPLETO (mm.) (mm.)
Delantero C50 / 70 BM600114 $1.29 BM605114 $0.06 100 JGO M 10 X 1.25 162 10
Delantero CB / CG BM600115 $1.98 BM605115 $2.09 100 JGO M 12 X 1.25 190 12
Delantero XL / GL BM600116 $2.05 BM605116 $2.14 100 JGO M 12 X 1.25 210 12
Posterior C50 / 70 BM600216 $2.05 BM605216 $2.14 100 JGO M 12 X 1.25 210 12
Posterior CB / CG BM600219 $3.14 BM605219 $3.27 100 JGO M 14 X 1.50 235 15
Posterior XL BM600221 $3.40 BM605221 $3.54 100 JGO M 14 X 1.50 255 15
Posterior GL BM600220 $3.65 BM605220 $3.75 100 JGO M 14 X 1.50 280 15
Posterior GY (CHINA) BM600222 $3.91 BM605222 $4.04 100 JGO M 14 X 1.50 300 15
Posterior HONDA Tornado BM600223 $4.60 BM605223 $0.15 100 JGO M 16 X 1.50 305 17
Trapecio C50 / 70 BM600310 $1.62 BM605310 $0.06 100 JGO M 10 X 1.25 250 10
Trapecio HEROS BM600312 $1.68 BM605312 $0.06 100 JGO M 10 X 1.25 265 10
Trapecio LIFAM / LS 100-A BM600314 $1.81 BM605314 $0.06 100 JGO M 10 X 1.25 295 10
Trapecio XL 185 / XL CHINA BM600316 $2.14 BM605316 $2.21 100 JGO M 12 X 1.25 229 12
Trapecio CB / CG BM600320 $2.31 BM605320 $2.40 100 JGO M 12 X 1.25 254 12
Trapecio GL BM600318 $2.40 BM605318 $2.47 100 JGO M 12 X 1.25 270 12
Trapecio CG Evolution BM600322 $3.01 BM605322 $3.14 100 JGO M 14 X 1.50 257 14
PRECIO DE VENTA POR PIEZA (INCLUYE IGV)
Índice www.dina.com.pe 17
