,,HEX. ,I4E0220,TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304
,,NYLON,I4E0120,TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304
,,CIEGA,I4E0320,TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304
